2015 Porsche Cayenne, $54279, Turbo AWD, 49010 miles, 9 mi - Charlotte, White exterior Unknown interior
2016 Porsche Cayman, $90427, GT4, 26453 miles, 626 mi - Hollywood, Unknown exterior Unknown interior
2017 Porsche Macan, $54395, GTS AWD, 29259 miles, 22 mi - Charlotte, Black exterior Unknown interior
2018 Porsche 911, $162630, GT3 Coupe RWD, 6843 miles, 12 mi - Charlotte, Blue exterior Unknown interior
2015 Porsche 911, $112317, Targa 4S Convertible RWD, 4253 miles, 37 mi - Mooresville, White exterior Unknown interior
2002 Porsche 911, $23444, Carrera 4 Convertible AWD, 67194 miles, 24 mi - Concord, Green exterior Unknown interior
2018 Porsche 718 Boxster, $74315, GTS RWD, 4941 miles, 9 mi - Charlotte, Black exterior Unknown interior
2018 Porsche 911, $169113, GT3 Coupe RWD, 8668 miles, 12 mi - Charlotte, Orange exterior Unknown interior
2017 Porsche Cayenne, $48761, AWD, 21378 miles, 22 mi - Charlotte, Blue exterior Unknown interior
2018 Porsche 718 Cayman, $72497, GTS RWD, 20178 miles, 9 mi - Charlotte, Blue exterior Unknown interior
2019 Porsche 718 Boxster, $82139, GTS RWD, 2812 miles, 7 mi - Charlotte, Black exterior Unknown interior
2018 Porsche 718 Boxster, $68455, GTS RWD, 24225 miles, 626 mi - Hollywood, Red exterior Unknown interior
2016 Porsche Cayenne E-Hybrid, $39175, S AWD, 35703 miles, 9 mi - Monroe, Black exterior Unknown interior
2015 Porsche Panamera, $59955, GTS, 38597 miles, 22 mi - Charlotte, Gray exterior Unknown interior
2016 Porsche Cayman, $47998, Black Edition, 19364 miles, 7 mi - Charlotte, Black exterior Unknown interior
