2008,50948,22281
2005,31350,80231
1999,26896,68874
2007,44872,33852
2011,59990,28894
2006,44671,42229
2008,54404,32595
2014,63709,32688
2020,115309,3556
2020,135735,3570
2006,54995,32525
2001,12637,168553
2017,139000,6512
2015,122844,18510
2018,123999,22785
2021,157248,128
2005,69995,10019
2014,83995,14235
2015,54022,49010
2016,89634,26453
2017,54365,29259
2018,163311,6843
2015,112565,4253
2002,23567,67194
2018,69264,24225
2018,169751,8668
2018,72928,20178
2016,48748,19364
2017,48513,21378
2016,39098,35703
2018,42845,32061
2019,211127,6703
2015,59557,38597
2017,87977,12520
2021,299990,86
2019,214726,3627
2014,129900,7185
2019,128869,6233
2019,121457,13814
2005,69995,10019
2007,44997,21289
2011,104478,3669
1997,179997,27322
2008,71911,58103
2014,67041,27491
2007,82997,39659
2007,No Price,27343
1998,69997,68399
1992,54995,62214
2006,54995,32525
1998,No Price,45000
