year,price,mileage
2007,44872,33852
2015,128799,20193
2012,71566,12503
2006,54995,32525
2021,157248,128
1999,26896,68874
2008,50948,22281
2020,115309,3556
2019,115199,12014
2001,12637,168553
2018,123999,22785
2020,135735,3570
2005,69995,10019
2019,207357,17889
2008,54680,32595
2006,47140,42229
2014,63942,32688
2014,83995,14235
2012,73268,18654
2007,50019,33852
2015,112848,4253
2018,162462,6843
2018,170091,8668
2002,23463,67194
2008,54899,22281
1996,210963,16159
2019,211674,6703
2014,74833,27543
1989,207147,11400
1987,109934,59027
2015,131760,8770
2006,49778,42229
2014,65635,32688
2019,123512,13814
2021,287500,86
2019,214726,3627
2014,129900,7185
2019,128392,6233
2019,121457,13814
2007,44863,25864
2007,44997,21289
1997,179997,27322
2007,99998,35892
2008,71911,58103
2014,67041,27491
2006,48997,41717
2007,72400,27343
1998,69997,68399
1992,54995,62214
2016,78998,7884
2016,70998,39912
2017,75000,50196
2012,66789,18654
2011,59990,28894
2017,152990,17558
2015,107988,4253
2011,68499,64450
1987,102787,59027
2006,48899,28178
2019,134990,8870
2004,26900,62504
2001,24900,52684
2009,59500,52500
2013,74995,11773
2019,144481,18673
2017,74999,38000
2016,164996,9052
2014,82900,26518
2009,49900,23368
2017,76912,65044
2015,129996,8770
2016,149996,13627
2017,84925,10230
2007,58000,27343
1998,119000,45000
2002,20999,67194
2014,77880,44204
2019,199877,1086
2019,204996,6703
2003,49996,83489
2019,143997,8376
1989,39999,131500
1989,55000,115000
1995,57000,79000
